20,5300
40,7800
40,4000
40,6600
40,4600
20,0
40,7300
20,6800
40,5900
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
50,4600
600,0
20,5100
40,6900
40,4000
40,6600
40,4600
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
40,5900
20,7300
40,4500
40,3100
40,6600
40,4000
20,0
50,4600
1500,0
